Datsetid	Players_total	Players_active	No.ofalignments	Empty_alignments	Maxscoreperread	Readnumber
139	13	12	13	12	52.0	1
140	10	9	10	9	15.35	20
141	16	14	16	14	70.7	10
142	21	16	21	16	17.75	16
143	12	9	12	9	55.55	20
144	16	12	16	12	68.8	20
145	9	7	9	7	41.55555555555556	18
146	21	11	21	11	37.95	20
147	12	7	12	7	77.3	20
148	13	11	13	11	84.55	20
149	16	13	16	13	88.6	20
150	14	13	14	13	62.55	20
151	10	9	10	9	61.0	6
152	17	7	17	7	42.25	20
153	18	16	18	16	52.6	20
154	17	13	17	13	48.85	20
155	16	14	16	14	73.05	20
156	23	20	23	20	78.05	20
157	22	18	22	18	80.6	20
158	18	12	18	12	80.2	20
159	16	15	16	15	78.6	20
160	21	16	21	16	80.1	20
161	14	10	14	10	68.05	20
162	11	8	11	8	76.95	20
163	14	11	14	11	78.15	20
164	20	12	20	19	49.3	20
165	20	17	20	17	41.6	20
166	13	8	13	8	41.25	20
167	18	13	18	13	45.785714285714285	14
168	10	9	10	9	32.4	20
169	13	11	13	11	96.25	20
170	19	16	19	16	92.45	20
171	16	9	16	9	55.8	10
172	13	10	13	10	52.8	20
173	15	11	15	11	94.75	20
174	6	6	6	6	87.3	20
175	16	13	16	13	71.95	20
176	17	11	17	11	43.94736842105263	19
177	14	12	14	12	48.2	20
178	16	13	16	13	46.9	20
179	14	11	14	11	47.2	20
180	9	7	9	7	48.15	20
181	13	13	13	13	48.0	20
182	11	7	11	7	72.9	20
183	10	7	10	7	80.25	20
184	16	12	16	12	76.95	20
185	14	11	14	11	80.2	20
186	19	13	19	13	81.0	20
187	11	7	11	7	80.25	20
188	20	17	20	17	79.05	20
189	11	10	11	10	79.85	20
190	23	18	23	18	81.0	20
191	9	6	9	6	81.0	20
192	17	15	17	15	81.0	20
193	15	8	15	8	81.0	20
194	13	12	13	12	81.0	20
195	11	10	11	10	81.0	20
196	15	14	15	14	80.6	20
197	12	11	12	11	79.25	20
198	8	7	8	7	74.6	20
199	11	9	11	9	63.85	20
200	16	11	16	11	40.75	20
201	9	9	9	9	43.95	20
202	10	7	10	7	33.25	20
203	11	10	11	10	34.75	20
204	11	9	11	9	37.15	20
205	12	11	12	11	38.2	20
206	13	11	13	11	45.0	2
207	16	11	16	11	29.0	20
208	15	12	15	12	28.2	20
209	15	10	15	12	28.6	20
210	19	12	19	12	29.35	20
211	17	15	17	15	30.3	20
212	11	6	11	6	43.1	20
213	14	10	14	10	50.2	20
214	9	8	9	8	57.7	20
215	16	8	16	8	69.6	20
216	14	13	14	13	73.9	20
217	14	8	14	8	77.0	20
218	21	17	21	17	85.5	20
219	14	8	14	8	87.85	20
220	10	8	10	8	75.5	20
221	15	11	15	11	85.1	20
222	18	13	18	13	88.6	20
223	15	8	15	8	88.65	20
224	11	9	11	9	87.4	20
225	11	8	11	8	85.25	20
226	10	8	10	8	88.6	20
227	17	12	17	12	89.0	20
228	11	8	11	8	88.6	20
229	16	12	16	12	88.2	20
230	17	15	17	15	88.6	20
231	15	13	15	13	88.6	20
232	12	10	12	10	88.3	20
233	11	10	11	10	87.55	20
234	10	9	10	9	88.35	20
235	13	10	13	11	89.0	20
236	28	21	28	24	87.85	20
237	14	7	14	7	86.7	20
238	22	12	22	12	88.6	20
239	16	15	16	15	89.0	20
240	15	12	15	12	88.0	20
241	20	17	20	17	89.0	20
242	9	7	9	7	86.6	20
243	22	18	22	18	88.6	20
244	15	15	15	15	89.0	20
245	12	9	12	9	87.0	20
246	9	8	9	8	87.0	20
247	14	11	14	11	88.2	20
248	18	13	18	13	87.8	20
249	29	16	29	23	89.0	20
250	13	7	13	7	87.8	20
251	10	7	10	7	88.6	20
252	16	13	16	13	86.95	20
253	5	3	5	3	87.8	20
254	15	11	15	11	87.1	20
