ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
724	1574	7	20	20	100	95.0
725	1580	6	20	20	100	45.0
726	820	10	13	13	0	0
727	966	1	20	20	100	55.0
728	1671	9	20	20	0	0
729	1924	9	20	20	0	0
730	1911	9	20	20	100	5.0
731	1940	18	20	20	0	0
732	1912	2	20	20	100	10.0
733	1867	17	20	18	0	0
734	1234	3	20	20	100	20.0
735	920	2	20	20	100	95.0
736	522	1	20	20	100	5.0
737	1702	15	20	20	100	50.0
738	319	7	8	8	100	87.0
739	1006	6	20	18	100	5.0
740	1224	15	20	18	0	0
741	1128	12	20	20	0	0
742	1127	7	20	20	0	0
743	1077	8	20	20	0	0
744	450	1	12	12	100	75.0
745	506	3	20	20	100	10.0
746	554	2	9	9	100	11.0
747	301	1	15	13	100	30.0
748	888	1	20	20	100	65.0
749	1660	6	20	20	100	8.333333333333334
750	1748	6	20	20	0	0
751	1732	10	20	20	0	0
752	1326	4	20	20	100	30.0
753	278	2	7	7	100	100.0
754	857	1	20	20	100	65.0
755	1221	6	20	20	0	0
756	1743	9	20	20	100	15.0
757	1728	6	20	20	100	100.0
758	1784	9	20	20	100	100.0
759	1784	5	20	20	100	100.0
760	1792	6	20	20	100	100.0
761	1180	1	20	20	100	100.0
762	129	3	3	3	100	100.0
763	847	2	20	20	100	100.0
764	860	2	20	20	100	100.0
765	860	2	20	20	100	100.0
766	860	1	20	20	100	100.0
767	766	2	20	20	100	100.0
768	823	1	20	20	100	100.0
769	860	4	20	20	100	100.0
770	848	2	20	20	100	100.0
771	860	2	20	20	100	100.0
772	860	3	20	20	100	100.0
773	854	2	20	20	100	100.0
774	800	1	20	20	100	100.0
775	860	4	20	20	100	100.0
776	860	5	20	20	100	100.0
777	863	2	20	20	100	100.0
778	860	5	20	20	100	100.0
779	844	1	20	20	100	100.0
780	833	1	20	20	100	100.0
781	765	1	20	20	100	100.0
782	794	1	20	20	100	100.0
783	860	4	20	20	100	100.0
784	860	1	20	20	100	100.0
785	852	5	20	20	100	100.0
