date	userType	sessions	users	sessionDuration	avgSessionDuration
20131221	Returning Visitor	33	19	65097.0	1972.6363636363637
20131222	Returning Visitor	37	20	79224.0	2141.189189189189
20131223	Returning Visitor	40	21	83314.0	2082.85
20131224	Returning Visitor	25	11	33165.0	1326.6
20131225	Returning Visitor	20	11	15332.0	766.6
20131226	Returning Visitor	42	17	71873.0	1711.2619047619048
20131227	Returning Visitor	37	11	69535.0	1879.3243243243244
20131228	Returning Visitor	28	11	41650.0	1487.5
20131229	Returning Visitor	25	9	58073.0	2322.92
20131230	Returning Visitor	43	16	59814.0	1391.0232558139535
20131231	Returning Visitor	45	18	87824.0	1951.6444444444444
20140101	Returning Visitor	37	11	84306.0	2278.5405405405404
20140102	Returning Visitor	45	20	60372.0	1341.6
20140103	Returning Visitor	51	18	93215.0	1827.7450980392157
20140104	Returning Visitor	41	19	47402.0	1156.1463414634147
20140105	Returning Visitor	46	19	91162.0	1981.7826086956522
20140106	Returning Visitor	46	20	72777.0	1582.108695652174
20140107	Returning Visitor	45	17	102781.0	2284.0222222222224
20140108	Returning Visitor	53	16	95959.0	1810.5471698113208
20140109	Returning Visitor	41	17	91870.0	2240.731707317073
20140110	Returning Visitor	51	20	85345.0	1673.4313725490197
20140111	Returning Visitor	29	12	74892.0	2582.4827586206898
20140112	Returning Visitor	38	18	86396.0	2273.5789473684213
20140113	Returning Visitor	45	18	105266.0	2339.2444444444445
20140114	Returning Visitor	49	18	93819.0	1914.6734693877552
20140115	Returning Visitor	46	16	86868.0	1888.4347826086957
20140116	Returning Visitor	48	14	82147.0	1711.3958333333333
20140117	Returning Visitor	37	11	103878.0	2807.5135135135133
20140118	Returning Visitor	43	13	68422.0	1591.2093023255813
20140119	Returning Visitor	34	17	64436.0	1895.1764705882354
20140120	Returning Visitor	41	14	56234.0	1371.560975609756
20140121	Returning Visitor	36	14	56065.0	1557.361111111111
20140122	Returning Visitor	33	18	75443.0	2286.151515151515
20140123	Returning Visitor	33	10	74982.0	2272.181818181818
20140124	Returning Visitor	32	9	62020.0	1938.125
20140125	Returning Visitor	37	16	55322.0	1495.1891891891892
20140126	Returning Visitor	68	46	89032.0	1309.2941176470588
20140127	Returning Visitor	74	38	102712.0	1388.0
20140128	Returning Visitor	63	36	87574.0	1390.063492063492
20140129	Returning Visitor	67	31	72249.0	1078.3432835820895
20140130	Returning Visitor	47	23	66636.0	1417.787234042553
20140131	Returning Visitor	46	19	69164.0	1503.5652173913043
