date	sessions	users	newUsers	percentNewSessions	sessionDuration	avgSessionDuration
20140216	78	40	21	26.923076923076923	101644.0	1303.128205128205
20140217	92	44	20	21.73913043478261	153155.0	1664.7282608695652
20140218	58	30	9	15.517241379310345	110871.0	1911.5689655172414
20140219	66	37	14	21.21212121212121	131155.0	1987.1969696969697
20140220	65	33	14	21.53846153846154	120766.0	1857.9384615384615
20140221	60	35	16	26.666666666666668	116066.0	1934.4333333333334
20140222	47	29	12	25.53191489361702	60919.0	1296.1489361702127
20140223	41	27	12	29.268292682926827	36771.0	896.8536585365854
20140224	47	28	14	29.78723404255319	80996.0	1723.3191489361702
20140225	58	26	9	15.517241379310345	120361.0	2075.189655172414
20140226	55	31	7	12.727272727272727	102687.0	1867.0363636363636
20140227	60	31	12	20.0	88551.0	1475.85
20140228	65	34	17	26.153846153846157	111298.0	1712.2769230769231
20140301	35	23	13	37.142857142857146	44158.0	1261.6571428571428
20140302	41	23	11	26.82926829268293	60098.0	1465.8048780487804
20140303	57	30	14	24.561403508771928	82810.0	1452.8070175438597
20140304	52	32	19	36.53846153846153	52385.0	1007.4038461538462
20140305	48	30	15	31.25	87951.0	1832.3125
20140306	53	33	18	33.9622641509434	63737.0	1202.5849056603774
20140307	51	33	13	25.49019607843137	90017.0	1765.0392156862745
20140308	43	34	16	37.2093023255814	41638.0	968.3255813953489
20140309	60	38	21	35.0	65761.0	1096.0166666666667
20140310	49	31	13	26.53061224489796	76032.0	1551.6734693877552
20140311	70	47	32	45.714285714285715	113742.0	1624.8857142857144
20140312	61	39	19	31.147540983606557	83630.0	1370.983606557377
20140313	69	42	25	36.231884057971016	95292.0	1381.0434782608695
20140314	73	42	27	36.986301369863014	102359.0	1402.1780821917807
20140315	52	40	19	36.53846153846153	72171.0	1387.9038461538462
20140316	54	35	17	31.48148148148148	74238.0	1374.7777777777778
20140317	65	38	13	20.0	79654.0	1225.446153846154
20140318	49	32	14	28.57142857142857	82250.0	1678.5714285714287
20140319	70	44	23	32.857142857142854	116984.0	1671.2
20140320	49	29	11	22.448979591836736	96768.0	1974.857142857143
20140321	58	35	16	27.586206896551722	87317.0	1505.4655172413793
20140322	28	20	7	25.0	22809.0	814.6071428571429
20140323	44	24	10	22.727272727272727	74937.0	1703.1136363636363
20140324	59	31	15	25.423728813559322	94601.0	1603.406779661017
20140325	56	30	11	19.642857142857142	94564.0	1688.642857142857
20140326	39	29	16	41.02564102564102	66171.0	1696.6923076923076
20140327	54	30	11	20.37037037037037	89212.0	1652.0740740740741
20140328	57	32	14	24.561403508771928	111269.0	1952.0877192982457
20140329	20	15	3	15.0	49341.0	2467.05
20140330	32	18	7	21.875	55944.0	1748.25
20140331	37	23	7	18.91891891891892	77395.0	2091.7567567567567
20140401	42	25	10	23.809523809523807	59246.0	1410.6190476190477
20140402	53	28	11	20.754716981132077	100081.0	1888.3207547169811
20140403	56	37	15	26.785714285714285	74653.0	1333.0892857142858
20140404	45	27	13	28.888888888888886	86055.0	1912.3333333333333
20140405	41	23	8	19.51219512195122	49387.0	1204.560975609756
20140406	38	20	5	13.157894736842104	78251.0	2059.2368421052633
20140407	43	25	12	27.906976744186046	54776.0	1273.860465116279
20140408	48	30	11	22.916666666666664	79109.0	1648.1041666666667
20140409	49	29	13	26.53061224489796	99086.0	2022.1632653061224
20140410	51	22	8	15.686274509803921	112849.0	2212.725490196078
20140411	52	28	14	26.923076923076923	93825.0	1804.326923076923
20140412	43	18	7	16.27906976744186	87814.0	2042.1860465116279
20140413	39	25	11	28.205128205128204	86389.0	2215.102564102564
20140414	36	21	8	22.22222222222222	63547.0	1765.1944444444443
20140415	35	16	3	8.571428571428571	54813.0	1566.0857142857142
20140416	33	20	8	24.242424242424242	68715.0	2082.2727272727275
20140417	42	20	8	19.047619047619047	77639.0	1848.547619047619
20140418	40	20	7	17.5	63749.0	1593.725
20140419	33	18	7	21.21212121212121	65694.0	1990.7272727272727
20140420	43	17	5	11.627906976744185	104894.0	2439.3953488372094
20140421	46	22	7	15.217391304347828	79885.0	1736.6304347826087
20140422	36	24	10	27.77777777777778	88320.0	2453.3333333333335
20140423	61	34	12	19.672131147540984	68526.0	1123.377049180328
20140424	45	24	7	15.555555555555555	65138.0	1447.5111111111112
20140425	47	27	14	29.78723404255319	69803.0	1485.1702127659576
20140426	43	22	10	23.25581395348837	80894.0	1881.2558139534883
20140427	51	27	11	21.568627450980394	110347.0	2163.6666666666665
20140428	37	22	8	21.62162162162162	49229.0	1330.5135135135135
20140429	36	24	7	19.444444444444446	66946.0	1859.611111111111
20140430	37	24	8	21.62162162162162	74534.0	2014.4324324324325
20140501	38	22	11	28.947368421052634	68635.0	1806.1842105263158
20140502	52	32	11	21.153846153846153	78277.0	1505.326923076923
20140503	24	14	5	20.833333333333336	51048.0	2127.0
20140504	32	18	4	12.5	84999.0	2656.21875
20140505	53	29	13	24.528301886792452	86251.0	1627.377358490566
20140506	31	19	6	19.35483870967742	81512.0	2629.4193548387098
20140507	35	19	6	17.142857142857142	65735.0	1878.142857142857
20140508	45	27	14	31.11111111111111	65923.0	1464.9555555555555
20140509	30	15	6	20.0	50435.0	1681.1666666666667
20140510	44	22	11	25.0	91582.0	2081.409090909091
20140511	31	15	5	16.129032258064516	45663.0	1473.0
20140512	52	24	7	13.461538461538462	90310.0	1736.7307692307693
20140513	36	20	4	11.11111111111111	78678.0	2185.5
20140514	45	24	10	22.22222222222222	80597.0	1791.0444444444445
20140515	31	14	4	12.903225806451612	55573.0	1792.6774193548388
20140516	35	17	6	17.142857142857142	56101.0	1602.8857142857144
20140517	32	20	8	25.0	53383.0	1668.21875
20140518	39	22	7	17.94871794871795	67974.0	1742.923076923077
20140519	44	22	7	15.909090909090908	73915.0	1679.8863636363637
20140520	46	21	5	10.869565217391305	79244.0	1722.695652173913
20140521	46	20	7	15.217391304347828	86084.0	1871.391304347826
20140522	62	29	8	12.903225806451612	104698.0	1688.6774193548388
20140523	60	31	13	21.666666666666668	84256.0	1404.2666666666667
20140524	30	17	6	20.0	47100.0	1570.0
20140525	37	16	2	5.405405405405405	55090.0	1488.918918918919
20140526	56	25	10	17.857142857142858	85927.0	1534.4107142857142
20140527	47	24	11	23.404255319148938	84252.0	1792.595744680851
20140528	43	23	7	16.27906976744186	83958.0	1952.5116279069769
20140529	47	24	10	21.27659574468085	83121.0	1768.531914893617
20140530	41	23	8	19.51219512195122	64203.0	1565.9268292682927
20140531	28	15	6	21.428571428571427	51462.0	1837.9285714285713
20140601	30	17	5	16.666666666666664	42630.0	1421.0
20140602	39	19	5	12.82051282051282	79382.0	2035.4358974358975
20140603	38	22	7	18.421052631578945	59413.0	1563.5
20140604	40	21	8	20.0	56734.0	1418.35
20140605	40	18	9	22.5	62219.0	1555.475
20140606	38	22	7	18.421052631578945	59713.0	1571.3947368421052
20140607	48	18	7	14.583333333333334	60802.0	1266.7083333333333
20140608	36	18	9	25.0	62336.0	1731.5555555555557
20140609	44	16	2	4.545454545454546	89621.0	2036.840909090909
20140610	48	25	11	22.916666666666664	76014.0	1583.625
20140611	43	23	10	23.25581395348837	64010.0	1488.6046511627908
20140612	40	22	7	17.5	81560.0	2039.0
20140613	32	19	5	15.625	43275.0	1352.34375
20140614	32	16	3	9.375	53098.0	1659.3125
20140615	36	17	8	22.22222222222222	40182.0	1116.1666666666667
20140616	29	16	4	13.793103448275861	31200.0	1075.8620689655172
20140617	51	26	14	27.450980392156865	84258.0	1652.1176470588234
20140618	42	24	10	23.809523809523807	64484.0	1535.3333333333333
20140619	55	27	11	20.0	95159.0	1730.1636363636364
20140620	44	25	7	15.909090909090908	55135.0	1253.0681818181818
20140621	28	21	8	28.57142857142857	36642.0	1308.642857142857
20140622	49	28	10	20.408163265306122	66651.0	1360.2244897959183
20140623	58	32	11	18.96551724137931	73104.0	1260.4137931034484
20140624	43	25	8	18.6046511627907	57943.0	1347.5116279069769
20140625	43	23	7	16.27906976744186	50390.0	1171.860465116279
20140626	35	18	8	22.857142857142858	57629.0	1646.5428571428572
20140627	41	26	12	29.268292682926827	53930.0	1315.3658536585365
20140628	22	10	3	13.636363636363635	19826.0	901.1818181818181
20140629	31	16	4	12.903225806451612	56328.0	1817.032258064516
20140630	42	21	5	11.904761904761903	53920.0	1283.8095238095239
20140701	36	17	4	11.11111111111111	49683.0	1380.0833333333333
20140702	29	21	10	34.48275862068966	33873.0	1168.0344827586207
20140703	31	18	5	16.129032258064516	61625.0	1987.9032258064517
20140704	38	20	7	18.421052631578945	67602.0	1779.0
20140705	26	14	5	19.230769230769234	39142.0	1505.4615384615386
20140706	43	16	4	9.30232558139535	67424.0	1568.0
20140707	37	19	9	24.324324324324326	52368.0	1415.3513513513512
20140708	23	14	6	26.08695652173913	36970.0	1607.391304347826
20140709	40	23	5	12.5	68844.0	1721.1
20140710	29	17	4	13.793103448275861	53450.0	1843.103448275862
20140711	30	21	8	26.666666666666668	36673.0	1222.4333333333334
20140712	30	15	8	26.666666666666668	33902.0	1130.0666666666666
20140713	24	15	5	20.833333333333336	24444.0	1018.5
20140714	34	15	5	14.705882352941178	36982.0	1087.7058823529412
20140715	30	18	8	26.666666666666668	43173.0	1439.1
20140716	31	19	10	32.25806451612903	44962.0	1450.3870967741937
20140717	22	12	4	18.181818181818183	26033.0	1183.3181818181818
20140718	28	17	4	14.285714285714285	32351.0	1155.392857142857
20140719	19	10	2	10.526315789473683	47435.0	2496.5789473684213
20140720	22	18	10	45.45454545454545	7110.0	323.1818181818182
20140721	26	18	8	30.76923076923077	20399.0	784.5769230769231
20140722	23	14	4	17.391304347826086	11952.0	519.6521739130435
20140723	26	18	8	30.76923076923077	31282.0	1203.1538461538462
20140724	25	19	7	28.000000000000004	27557.0	1102.28
20140725	33	19	9	27.27272727272727	37086.0	1123.8181818181818
20140726	26	12	3	11.538461538461538	46244.0	1778.6153846153845
20140727	29	15	4	13.793103448275861	32150.0	1108.6206896551723
20140728	34	20	8	23.52941176470588	37688.0	1108.4705882352941
20140729	37	21	8	21.62162162162162	61690.0	1667.2972972972973
20140730	35	25	11	31.428571428571427	41585.0	1188.142857142857
20140731	26	13	5	19.230769230769234	29693.0	1142.0384615384614
20140801	33	20	10	30.303030303030305	28211.0	854.8787878787879
20140802	19	11	6	31.57894736842105	10993.0	578.578947368421
20140803	30	17	6	20.0	35163.0	1172.1
20140804	28	18	8	28.57142857142857	30212.0	1079.0
